gene	SRR20648572	SRR20648573	SRR20648574	SRR20648575	SRR20648576	SRR20648577	SRR20648578	SRR20648579
L1PA16	5.436267503763064	5.454723868572573	4.906827899387486	5.031510100622936	7.262265448791951	6.3624517808057846	4.856536667059413	4.776178290866284
L1PA16_5	2.61034376157401	3.1155831807986503	3.094102428390186	3.2646949345634355	3.80494216551769	3.811839559062721	3.434336028203941	3.688171444508304
L1PA2	3.8582143983877666	3.2882573111128117	3.094102428390186	1.9219144989347916	3.492211908856936	3.0628130186283755	3.113645914726882	2.680113950725503
L1PA3	2.61034376157401	2.905424097567999	2.610881488007148	2.6112269923567433	3.6587204974948206	3.3026217371796864	2.6227782436991225	2.680113950725503
L1PA4	3.2630581307408306	3.436718378096449	3.094102428390186	3.2646949345634355	3.6587204974948206	3.9430179650889903	2.9038003422545713	3.3914637096138516
L1PA5	4.033350322739282	3.436718378096449	3.4102845566262454	2.88790240015834	3.058304564007137	3.498181199534863	2.6227782436991225	2.680113950725503
L1PA6	5.406431845855325	5.51412663017373	4.771325222581475	4.864242664682152	6.700034758830951	6.124504209970676	4.222286650229794	4.52469471387927
L1PA7	6.678145939887252	7.428109405824637	6.629776289608833	6.631141702927404	8.966079602789371	8.127080506351243	6.038442495126895	6.205139464927521
L1PA7_5	5.821883774599762	6.101896626941169	5.524137236178652	5.552922575927005	6.7835407895362385	6.317912968012476	5.220700490789697	5.448236598630211
L1PA8	6.896418281302385	6.851005275066933	6.28266199953318	6.524478435330246	8.45262923699115	7.586429883808165	5.912562431911712	6.205139464927521
L1PB1	6.874940000477917	7.213474517729681	6.667817597193808	6.777630745749917	8.870129137621854	8.586508881184276	5.868016700469827	6.866490239906166
L1PB2	5.247044700752604	5.65261810615067	4.114208467880133	4.991528384483961	6.767222728789045	6.547375890533858	4.36178261242261	5.037499730537536
L1PB2c	10.0025637416122	10.332793364756352	9.528571111404652	9.777625555727004	12.04227007312811	11.91387817136026	9.189676758182403	9.54808014268607
L1PB3	4.033350322739282	3.8921684169776043	3.5395362263982495	3.7627410016284024	5.763993590985171	5.39847866366382	3.434336028203941	3.3914637096138516
L1PB4	3.2630581307408306	3.436718378096449	1.9219144989347916	3.7627410016284024	3.80494216551769	3.811839559062721	2.9038003422545713	3.3914637096138516
L1PBA_5	6.296844636943516	6.531868220900621	5.823891227716547	6.26754415745507	7.915399139143648	8.02707901596021	5.4805583093373675	5.584151265008767
L1PBA1_5	3.948779412147916	4.149853201696531	3.7619105065567755	3.5402858155090633	3.492211908856936	3.3026217371796864	3.113645914726882	3.9260999607699425
L1PREC1	9.241970972720141	9.541408059302393	8.848998972737151	8.893880218951	11.03638056850511	10.608462611504963	8.22579398599016	8.610730661909225
L1PREC2	8.551121928472627	8.850049515797485	7.989392781062827	8.147083956287462	10.426599874006445	10.226506694095713	7.675964571961498	7.91272697286561
LOR1a_LTR	1.9219144989347916	2.905424097567999	1.9219144989347916	1.9219144989347916	2.7355721155082593	2.7388786571413646	1.9219144989347916	1.9219144989347916
LOR1b_LTR	1.9219144989347916	1.9219144989347916	2.610881488007148	1.9219144989347916	2.7355721155082593	1.9219144989347916	1.9219144989347916	1.9219144989347916
LOR1I	3.7606177422305858	3.5678532091086725	3.4102845566262454	3.7627410016284024	4.812822996068936	5.059799381657831	3.7904428332938234	3.207373671340205
LTR1	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.6112269923567433	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
LTR10A	2.8866862607683226	1.9219144989347916	2.610881488007148	1.9219144989347916	3.492211908856936	3.0628130186283755	1.9219144989347916	2.9825080922123615
LTR10C	5.14201436691666	5.294343830002261	4.511078028553306	4.950373192465615	6.7835407895362385	6.794756638078483	4.760913466304714	4.453899600280987
LTR10D	4.187588326582305	4.297199893432928	3.9501706616271615	4.035703981635944	3.9357645704664335	4.17093638246418	4.222286650229794	4.37921213100987
LTR10E	3.5383694466493383	3.793266502346861	3.264054679724886	3.094670463616217	3.6587204974948206	3.498181199534863	3.683099505731386	3.207373671340205
LTR10F	1.9219144989347916	1.9219144989347916	2.8874266771220665	2.6112269923567433	2.7355721155082593	2.7388786571413646	1.9219144989347916	1.9219144989347916
LTR10G	1.9219144989347916	1.9219144989347916	3.094102428390186	1.9219144989347916	2.7355721155082593	2.7388786571413646	1.9219144989347916	1.9219144989347916
LTR12	3.4091957371070576	3.436718378096449	2.8874266771220665	3.5402858155090633	3.2972847990202836	3.3026217371796864	2.6227782436991225	3.207373671340205
LTR12B	2.8866862607683226	3.2882573111128117	1.9219144989347916	1.9219144989347916	3.058304564007137	3.0628130186283755	2.6227782436991225	2.9825080922123615
LTR12C	4.450913751280794	4.992598056314274	4.621145676029057	4.453570820675378	4.6037115810687474	4.885339217156957	4.222286650229794	4.832503455709259
LTR12D	3.654623596115137	4.225567971255837	4.511078028553306	3.7627410016284024	3.80494216551769	3.9430179650889903	3.5653018898352866	4.030129659118656
LTR12E	4.187588326582305	4.365193919385863	4.18909381090036	4.190060889752304	3.492211908856936	3.498181199534863	3.889232562569769	4.300148967591205
LTR12F	3.2630581307408306	3.2882573111128117	2.610881488007148	2.88790240015834	3.058304564007137	3.811839559062721	3.113645914726882	3.207373671340205
LTR13	5.549716717328351	5.894819839708286	5.314862217518438	5.632472628104186	5.2051954199791775	5.39847866366382	5.323807622083131	5.483451761533909
LTR13A	4.769589418121411	5.6787720949338825	4.723054883908962	5.108214325260156	5.2051954199791775	4.945939241629342	4.901994353181215	5.084385102348781
LTR14	3.093218311550727	2.905424097567999	3.264054679724886	3.410984076010733	3.492211908856936	3.3026217371796864	3.2860753439494483	3.549227241847885
LTR14A	3.093218311550727	3.436718378096449	3.094102428390186	3.094670463616217	3.80494216551769	3.0628130186283755	3.434336028203941	2.9825080922123615
LTR14B	3.5383694466493383	3.436718378096449	3.094102428390186	3.5402858155090633	1.9219144989347916	3.498181199534863	3.2860753439494483	3.207373671340205
LTR14C	4.033350322739282	4.55080216690582	3.094102428390186	3.6566503194292928	3.492211908856936	3.9430179650889903	2.9038003422545713	3.207373671340205
LTR17	4.187588326582305	4.365193919385863	3.6558575747463546	4.260954109153075	3.9357645704664335	4.365193919385862	3.5653018898352866	4.216124678324434
LTR18B	2.8866862607683226	3.1155831807986503	3.094102428390186	3.5402858155090633	2.7355721155082593	1.9219144989347916	3.683099505731386	1.9219144989347916
LTR18C	2.8866862607683226	3.1155831807986503	3.264054679724886	2.88790240015834	2.7355721155082593	2.7388786571413646	3.113645914726882	3.207373671340205
LTR1A2	3.093218311550727	2.6239585961779044	3.094102428390186	1.9219144989347916	1.9219144989347916	2.7388786571413646	1.9219144989347916	1.9219144989347916
LTR1B	1.9219144989347916	2.6239585961779044	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
LTR1C1	1.9219144989347916	2.6239585961779044	1.9219144989347916	2.6112269923567433	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
LTR1C3	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.6112269923567433	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
LTR1F	2.61034376157401	2.6239585961779044	2.610881488007148	1.9219144989347916	1.9219144989347916	2.7388786571413646	1.9219144989347916	1.9219144989347916
LTR1F1	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.6227782436991225	1.9219144989347916
LTR21A	4.187588326582305	3.983898420842019	4.18909381090036	3.410984076010733	3.058304564007137	1.9219144989347916	3.9808625062685934	3.3914637096138516
LTR21B	1.9219144989347916	1.9219144989347916	2.8874266771220665	1.9219144989347916	1.9219144989347916	2.7388786571413646	2.6227782436991225	1.9219144989347916
LTR22	5.280389074809839	5.188607752534577	4.863108151911604	4.950373192465615	6.394671031515337	6.0983866841478545	3.9808625062685934	4.832503455709259
LTR22A	3.4091957371070576	3.8921684169776043	3.264054679724886	2.88790240015834	2.7355721155082593	2.7388786571413646	3.2860753439494483	2.9825080922123615
LTR22B	2.61034376157401	3.5678532091086725	2.610881488007148	1.9219144989347916	2.7355721155082593	3.0628130186283755	1.9219144989347916	1.9219144989347916
LTR22B2	2.61034376157401	2.905424097567999	1.9219144989347916	1.9219144989347916	2.7355721155082593	1.9219144989347916	2.6227782436991225	1.9219144989347916
LTR22C0	2.61034376157401	2.905424097567999	2.610881488007148	1.9219144989347916	3.2972847990202836	1.9219144989347916	1.9219144989347916	1.9219144989347916
LTR22E	2.8866862607683226	2.6239585961779044	1.9219144989347916	3.094670463616217	3.058304564007137	1.9219144989347916	2.6227782436991225	2.680113950725503
LTR23	1.9219144989347916	2.6239585961779044	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
